objectid,filename,format,medium,title,creator,date_acquired,description,acquisition_type,physical_location,subject,notes
df.do.1,df.do.1.jpg,image/jpeg,print,Unknown Pittsburgh Street,Calvin Lynch,c. 2021,colorized scene of an unknown Pittsburgh street.,collected,Bedroom Wall,Religious Art,acquired from the Heinz History Center
df.do.2,df.do.2,record,print,Island Funeral,N.C. Wyeth,c. 2023,Scene depicting a procession of people towards a building on an island.,bought,Bedroom Wall,Miscellaneous,Bought at the Brandywine River Art Museum
df.do.3,df.do.3.jpg,image/jpeg,"Metal, wood",Grandma's Rosary,unknown,c. 1925,Dark colored rosary,gifted,Bedroom Wall,Religious Art,"Gifted from collectors grandmother. Rosary was previously owned by great-grandmother, originally acquired in Staten Island, NY. Gifted to collector in Philadelphia PA from Grammy. Rosary was in a box with a pearl necklance, a broach, a large pendant necklace, and earrings."
df.do.4,df.do.4,record,print,"Major's Pride, New York State Peaches",unknown,2024,advertisement for NY Peaches with image of boy riding a horse,bought,Bedroom Wall,Miscellaneous,"Bought at the West Chester antique mall, PA. "
df.do.5,df.do.5,record,print,Racehorse,Calvin Lynch,c. 2021,colorful image of jockey on a blue horse with mask,collected,Bedroom Wall,Calvin Lynch,acquired from the Heinz History Center
df.do.6,df.do.6.jpg,image/jpeg,acrylic on wood,Madonna and Child,unknown,c. 2019,Image of the virgin mary holding a child with a gold border. Norman window shape hung to wall by a thin gold string.,bought,Bedroom Wall,Religious Art,"Bought in the Berkley Springs Antique Mall, Berkley Springs, WV. "
df.do.7,df.do.7,record,embroidery,Jeanette's Sacred Heart,Unknown,"created c. 1952;
2022",Framed embroidery of a sacred heart.,gifted,Bedroom Wall,Religious Art,gift from mom.
df.do.8,df.do.8,record,Postcard,Woman Holding Fire,unknown,2024,"Small postcard of a woman holding a flame, came with another print from same artist. ",bought,Bedroom Wall,Miscellaneous,"Bought at a gallery in Davis, WV."
df.do.9,df.do.9,record,Print,Smallman Street Church,Calvin Lynch,c. 2021,"Image of the St. Stanilaus Church on Smallman Street, Pittsburgh.",gifted,Bedroom Wall,Calvin Lynch,acquired from the Heinz History Center
df.do.10,df.do.10,record,Print,Blue Jay and Oriole,unknown,2024,Page from a book with image of a blue jay and oriole on a branch,bought,Bedroom Wall,Miscellaneous,"Bought at the West Chester antique mall, PA. "
